Team,Abbreviation,Full Team,From,To,W,L,T,W-L%
Cardinals,crd,Arizona Cardinals,1935,2021,571,771,41,0.426
Falcons,atl,Atlanta Falcons,1966,2021,371,476,6,0.438
Ravens,rav,Baltimore Ravens,1996,2021,228,175,1,0.566
Bills,buf,Buffalo Bills,1960,2021,442,487,8,0.476
Panthers,car,Carolina Panthers,1995,2021,203,217,1,0.483
Bears,chi,Chicago Bears,1935,2021,780,601,42,0.565
Bengals,cin,Cincinnati Bengals,1968,2021,366,454,5,0.447
Browns,cle,Cleveland Browns,1946,1995,536,511,14,0.512
Browns,cle,Cleveland Browns,1999,2021,536,511,14,0.512
Cowboys,dal,Dallas Cowboys,1960,2021,530,399,6,0.571
Broncos,den,Denver Broncos,1960,2021,491,436,10,0.53
Lions,det,Detroit Lions,1935,2021,567,686,33,0.453
Packers,gnb,Green Bay Packers,1935,2021,773,578,38,0.572
Texans,htx,Houston Texans,2002,2021,136,173,0,0.44
Colts,clt,Indianapolis Colts,1953,2021,535,476,7,0.529
Jags,jax,Jacksonville Jaguars,1995,2021,177,244,0,0.42
Chiefs,kan,Kansas City Chiefs,1960,2021,497,428,12,0.537
Rams,ram,Los Angeles Rams,1960,2021,484,442,11,0.523
Chargers,sdg,Los Angeles Chargers,1960,2021,463,463,11,0.5
Raiders,rai,Las Vegas Raiders,1960,2021,591,576,21,0.506
Dolphins,mia,Miami Dolphins,1966,2021,468,381,4,0.551
Vikings,min,Minnesota Vikings,1961,2021,497,415,11,0.545
Patriots,nwe,New England Patriots,1960,2021,521,407,9,0.561
Saints,nor,New Orleans Saints,1967,2021,390,444,5,0.468
Giants,nyg,New York Giants,1935,2021,703,622,33,0.53
Jets,nyj,New York Jets,1960,2021,411,518,8,0.443
Eagles,phi,Philadelphia Eagles,1935,2021,592,622,27,0.488
Steelers,pit,Pittsburgh Steelers,1935,1943,645,559,21,0.536
Steelers,pit,Pittsburgh Steelers,1945,2021,645,559,21,0.536
Niners,sfo,San Francisco 49ers,1946,2021,591,502,16,0.541
Seahawks,sea,Seattle Seahawks,1976,2021,369,343,1,0.518
Bucs,tam,Tampa Bay Buccaneers,1976,2021,282,430,1,0.396
Titans,oti,Tennessee Titans,1960,2021,454,477,6,0.488
WFT,was,Washington Football Team,1935,2021,612,615,28,0.499